order_id,customer_id,customer_city,restaurant_id,restaurant_city,cuisine,order_datetime,order_value,delivery_time_mins,rating,is_weekend
O207853,C100527,Delhi NCR,R1054,Delhi NCR,North Indian,2025-01-06 13:37:00,302.2,28.7,4.2,False
O214085,C101566,Bengaluru,R1128,Mumbai,Biryani,2025-01-06 14:19:00,572.62,46.7,3.6,False
O208183,C102023,Mumbai,R1023,Bengaluru,Desserts,2025-01-06 14:30:00,241.04,31.3,4.1,False
O214276,C101566,Bengaluru,R1100,Mumbai,Desserts,2025-01-06 14:50:00,276.39,32.8,4.1,False
O207506,C101207,Hyderabad,R1044,Bengaluru,South Indian,2025-01-06 15:47:00,190.83,28.7,3.6,False
O201790,C100088,Mumbai,R1010,Mumbai,North Indian,2025-01-06 16:08:00,430.83,49.9,4.5,False
O225500,C101533,Bengaluru,R1164,Mumbai,Chinese,2025-01-06 16:55:00,213.32,30.7,4.1,False
O201130,C100745,Hyderabad,R1088,Hyderabad,South Indian,2025-01-06 19:18:00,227.29,33.8,4.9,False
O226254,C101943,Chennai,R1178,Chennai,Continental,2025-01-06 19:26:00,467.53,39.9,4.4,False
O204942,C102494,Bengaluru,R1060,Bengaluru,Continental,2025-01-06 19:36:00,568.86,27.4,4.4,False
O200796,C101501,Mumbai,R1069,Chennai,Desserts,2025-01-06 19:37:00,307.06,39.6,3.6,False
O212825,C100197,Chennai,R1025,Hyderabad,North Indian,2025-01-06 19:53:00,524.31,34.1,5.0,False
O213438,C101195,Hyderabad,R1006,Mumbai,Biryani,2025-01-06 20:22:00,523.85,51.3,3.9,False
O228462,C101814,Bengaluru,R1111,Mumbai,North Indian,2025-01-06 21:10:00,385.43,38.9,4.2,False
O200927,C102023,Mumbai,R1098,Mumbai,Fast Food,2025-01-06 21:18:00,215.45,37.6,4.6,False
O203328,C102143,Bengaluru,R1147,Delhi NCR,Fast Food,2025-01-06 21:19:00,201.04,19.1,4.8,False
O229071,C101277,Bengaluru,R1029,Mumbai,North Indian,2025-01-06 21:37:00,393.48,57.1,4.1,False
O202780,C102067,Mumbai,R1001,Chennai,North Indian,2025-01-06 21:50:00,486.99,18.8,4.3,False
O218875,C102023,Mumbai,R1096,Delhi NCR,Biryani,2025-01-06 22:29:00,465.35,25.0,4.3,False
O219357,C101566,Bengaluru,R1027,Delhi NCR,Fast Food,2025-01-06 22:39:00,191.06,56.5,4.2,False
O220812,C101207,Hyderabad,R1087,Pune,Fast Food,2025-01-06 22:51:00,186.55,37.6,3.8,False
O201367,C102109,Mumbai,R1129,Delhi NCR,South Indian,2025-01-06 23:36:00,212.75,12.0,4.3,False
O215390,C101895,Mumbai,R1125,Delhi NCR,Continental,2025-01-07 00:00:00,562.06,22.0,4.9,False
O201407,C101746,Chennai,R1092,Hyderabad,Desserts,2025-01-07 00:00:00,228.71,46.1,3.6,False
O228810,C101168,Bengaluru,R1064,Bengaluru,North Indian,2025-01-07 00:00:00,449.9,32.4,4.2,False
O204992,C100441,Delhi NCR,R1015,Mumbai,South Indian,2025-01-07 00:00:00,274.63,33.1,4.5,False
O207233,C100012,Bengaluru,R1054,Delhi NCR,North Indian,2025-01-07 00:00:00,502.75,30.3,4.6,False
O209265,C101977,Pune,R1170,Pune,Chinese,2025-01-07 00:00:00,324.31,19.0,4.1,False
O223751,C100187,Delhi NCR,R1000,Bengaluru,South Indian,2025-01-07 11:47:00,357.06,36.8,4.2,False
O215377,C100802,Bengaluru,R1054,Delhi NCR,North Indian,2025-01-07 12:02:00,388.11,22.4,4.2,False
O216644,C101746,Chennai,R1077,Mumbai,Fast Food,2025-01-07 12:11:00,213.8,41.7,3.9,False
O226562,C101168,Bengaluru,R1159,Pune,North Indian,2025-01-07 12:15:00,439.6,28.5,4.0,False
O218273,C100731,Delhi NCR,R1053,Chennai,Chinese,2025-01-07 12:22:00,251.77,34.4,4.4,False
O208956,C101207,Hyderabad,R1129,Delhi NCR,South Indian,2025-01-07 12:30:00,331.36,22.1,3.9,False
O216971,C102437,Bengaluru,R1022,Bengaluru,North Indian,2025-01-07 12:38:00,313.43,27.3,4.8,False
O223908,C102492,Chennai,R1056,Mumbai,South Indian,2025-01-07 12:44:00,206.24,48.4,3.9,False
O207422,C102216,Pune,R1142,Delhi NCR,Fast Food,2025-01-07 13:23:00,259.37,25.5,4.2,False
O211895,C101790,Bengaluru,R1120,Hyderabad,North Indian,2025-01-07 13:29:00,462.82,30.0,5.0,False
O223483,C102404,Pune,R1136,Delhi NCR,Chinese,2025-01-07 13:57:00,443.29,47.7,4.1,False
O212191,C100617,Bengaluru,R1104,Chennai,Fast Food,2025-01-07 14:32:00,220.7,35.5,4.2,False
O229008,C100185,Hyderabad,R1014,Mumbai,South Indian,2025-01-07 14:57:00,242.65,60.3,3.7,False
O200669,C100762,Hyderabad,R1035,Hyderabad,South Indian,2025-01-07 15:26:00,314.1,26.8,4.2,False
O223094,C101279,Chennai,R1059,Bengaluru,North Indian,2025-01-07 16:04:00,246.15,31.1,4.5,False
O208560,C101324,Pune,R1156,Pune,Desserts,2025-01-07 18:18:00,197.97,17.3,4.0,False
O224608,C100187,Delhi NCR,R1154,Chennai,North Indian,2025-01-07 19:41:00,405.1,30.8,4.7,False
O200867,C101746,Chennai,R1176,Pune,North Indian,2025-01-07 20:12:00,518.3,25.4,4.5,False
O213125,C100444,Chennai,R1101,Pune,South Indian,2025-01-07 20:20:00,294.97,32.2,4.3,False
O224504,C101895,Mumbai,R1040,Mumbai,Fast Food,2025-01-07 20:21:00,157.23,21.0,4.5,False
O201081,C100064,Bengaluru,R1079,Mumbai,North Indian,2025-01-07 20:36:00,438.06,57.1,3.4,False
O220736,C102236,Hyderabad,R1151,Bengaluru,Biryani,2025-01-07 21:42:00,342.13,36.5,5.0,False
O204862,C101977,Pune,R1091,Pune,Biryani,2025-01-08 00:00:00,379.0,27.2,3.7,False
O218203,C100617,Bengaluru,R1126,Hyderabad,Chinese,2025-01-08 00:00:00,301.21,22.8,4.1,False
O228768,C101924,Pune,R1082,Bengaluru,North Indian,2025-01-08 00:00:00,572.26,21.2,4.1,False
O227295,C100880,Bengaluru,R1068,Mumbai,Continental,2025-01-08 00:00:00,657.02,12.0,3.8,False
O201239,C102067,Mumbai,R1118,Chennai,Fast Food,2025-01-08 00:00:00,149.76,16.1,3.6,False
O207174,C101168,Bengaluru,R1076,Hyderabad,Continental,2025-01-08 00:00:00,544.57,30.8,3.8,False
O206982,C101036,Mumbai,R1148,Mumbai,Chinese,2025-01-08 00:00:00,421.08,43.5,4.1,False
O211810,C100762,Hyderabad,R1079,Mumbai,North Indian,2025-01-08 00:00:00,569.23,40.8,4.3,False
O229635,C102217,Mumbai,R1109,Mumbai,Fast Food,2025-01-08 08:30:00,162.66,50.0,4.3,False
O205214,C101566,Bengaluru,R1013,Mumbai,Fast Food,2025-01-08 09:05:00,218.57,32.7,5.0,False
O206763,C101788,Pune,R1099,Mumbai,Biryani,2025-01-08 10:01:00,396.74,22.3,3.8,False
O203504,C100088,Mumbai,R1131,Bengaluru,North Indian,2025-01-08 13:00:00,606.26,42.8,4.3,False
O210290,C101924,Pune,R1094,Hyderabad,Chinese,2025-01-08 13:09:00,329.23,25.7,3.9,False
O225755,C101168,Bengaluru,R1097,Delhi NCR,Fast Food,2025-01-08 13:16:00,249.04,36.0,3.9,False
O214882,C100012,Bengaluru,R1070,Hyderabad,South Indian,2025-01-08 13:41:00,224.06,40.4,4.2,False
O202847,C101696,Mumbai,R1145,Mumbai,Biryani,2025-01-08 13:43:00,325.45,40.8,4.9,False
O215696,C101300,Bengaluru,R1179,Mumbai,Fast Food,2025-01-08 14:00:00,178.04,39.5,3.8,False
O208868,C100187,Delhi NCR,R1022,Bengaluru,North Indian,2025-01-08 14:21:00,359.65,33.6,4.0,False
O224484,C100429,Bengaluru,R1148,Mumbai,Chinese,2025-01-08 14:54:00,243.19,31.1,4.4,False
O201712,C101615,Delhi NCR,R1052,Chennai,Fast Food,2025-01-08 14:54:00,315.73,30.1,4.2,False
O228886,C100197,Chennai,R1042,Mumbai,North Indian,2025-01-08 14:55:00,573.19,44.9,4.3,False
O212849,C100745,Hyderabad,R1122,Bengaluru,Fast Food,2025-01-08 19:05:00,222.89,52.2,4.3,False
O217715,C101186,Pune,R1013,Mumbai,Fast Food,2025-01-08 19:25:00,296.72,37.0,5.0,False
O202997,C101168,Bengaluru,R1097,Delhi NCR,Fast Food,2025-01-08 19:29:00,121.36,27.1,4.8,False
O226411,C102023,Mumbai,R1052,Chennai,Fast Food,2025-01-08 19:34:00,313.79,26.9,4.6,False
O202336,C100876,Bengaluru,R1017,Delhi NCR,Desserts,2025-01-08 20:11:00,243.3,42.9,4.3,False
O200675,C101099,Pune,R1106,Bengaluru,Chinese,2025-01-08 20:20:00,449.57,48.8,3.6,False
O226271,C100444,Chennai,R1153,Delhi NCR,North Indian,2025-01-08 20:25:00,427.55,31.0,4.8,False
O210325,C100047,Bengaluru,R1003,Delhi NCR,Desserts,2025-01-08 21:02:00,171.63,18.1,4.9,False
O222083,C102128,Chennai,R1033,Chennai,South Indian,2025-01-08 21:07:00,244.2,30.6,3.6,False
O221628,C101588,Delhi NCR,R1041,Delhi NCR,Fast Food,2025-01-08 21:14:00,317.52,44.4,4.9,False
O204559,C100197,Chennai,R1103,Delhi NCR,North Indian,2025-01-08 21:20:00,525.99,41.2,4.1,False
O210229,C101195,Hyderabad,R1105,Bengaluru,North Indian,2025-01-08 21:33:00,668.66,50.3,3.9,False
O216496,C101032,Delhi NCR,R1153,Delhi NCR,North Indian,2025-01-08 21:43:00,250.74,29.6,4.6,False
O226268,C100197,Chennai,R1011,Chennai,Desserts,2025-01-08 22:19:00,159.42,42.2,4.0,False
O210720,C102143,Bengaluru,R1130,Bengaluru,Chinese,2025-01-08 22:47:00,265.55,29.8,4.3,False
O202129,C100557,Delhi NCR,R1005,Mumbai,Fast Food,2025-01-09 00:00:00,189.57,36.5,4.3,False
O210291,C101270,Pune,R1071,Mumbai,Chinese,2025-01-09 00:00:00,295.29,23.2,4.2,False
O203101,C101709,Bengaluru,R1142,Delhi NCR,Fast Food,2025-01-09 00:00:00,165.36,31.5,4.6,False
O228805,C100645,Delhi NCR,R1049,Mumbai,Fast Food,2025-01-09 00:00:00,313.34,34.6,4.6,False
O208455,C102208,Mumbai,R1059,Bengaluru,North Indian,2025-01-09 00:00:00,305.98,25.5,4.4,False
O221360,C100088,Mumbai,R1109,Mumbai,Fast Food,2025-01-09 00:00:00,261.06,38.1,4.3,False
O226972,C101700,Delhi NCR,R1089,Delhi NCR,South Indian,2025-01-09 00:00:00,274.69,25.9,4.9,False
O211407,C100047,Bengaluru,R1069,Chennai,Desserts,2025-01-09 00:00:00,130.21,30.2,3.9,False
O216800,C101442,Mumbai,R1103,Delhi NCR,North Indian,2025-01-09 00:00:00,326.91,18.5,4.2,False
O209196,C100345,Bengaluru,R1005,Mumbai,Fast Food,2025-01-09 00:00:00,138.16,49.9,4.0,False
O209186,C102099,Bengaluru,R1173,Bengaluru,North Indian,2025-01-09 00:00:00,474.63,33.9,3.9,False
O228231,C100903,Mumbai,R1104,Chennai,Fast Food,2025-01-09 00:00:00,298.35,38.6,5.0,False
O228833,C100197,Chennai,R1070,Hyderabad,South Indian,2025-01-09 12:21:00,259.05,45.1,3.6,False
O211051,C101031,Hyderabad,R1142,Delhi NCR,Fast Food,2025-01-09 13:15:00,302.21,44.9,4.2,False
O218638,C100617,Bengaluru,R1126,Hyderabad,Chinese,2025-01-09 14:10:00,422.78,21.9,4.4,False
O201190,C100527,Delhi NCR,R1103,Delhi NCR,North Indian,2025-01-09 14:17:00,446.06,32.9,3.8,False
O200568,C101168,Bengaluru,R1179,Mumbai,Fast Food,2025-01-09 14:31:00,255.37,51.0,3.8,False
O212948,C102023,Mumbai,R1007,Hyderabad,Fast Food,2025-01-09 14:35:00,205.41,29.2,4.3,False
O211621,C101085,Mumbai,R1089,Delhi NCR,South Indian,2025-01-09 14:59:00,205.88,23.9,4.4,False
O227975,C101353,Bengaluru,R1082,Bengaluru,North Indian,2025-01-09 15:35:00,537.85,25.8,4.1,False
O208881,C101098,Delhi NCR,R1126,Hyderabad,Chinese,2025-01-09 17:12:00,387.01,41.7,4.3,False
O228782,C101262,Delhi NCR,R1119,Delhi NCR,North Indian,2025-01-09 19:06:00,412.87,47.0,3.9,False
O201361,C101657,Pune,R1010,Mumbai,North Indian,2025-01-09 19:12:00,417.92,37.5,4.4,False
O200823,C101588,Delhi NCR,R1055,Chennai,Biryani,2025-01-09 19:14:00,366.58,32.5,4.6,False
O210911,C102172,Chennai,R1136,Delhi NCR,Chinese,2025-01-09 19:33:00,333.64,38.8,4.0,False
O203669,C101615,Delhi NCR,R1109,Mumbai,Fast Food,2025-01-09 20:04:00,280.92,39.5,3.9,False
O204216,C101895,Mumbai,R1107,Pune,Fast Food,2025-01-09 20:27:00,185.53,28.0,4.1,False
O201067,C101924,Pune,R1053,Chennai,Chinese,2025-01-09 20:33:00,265.08,26.2,3.8,False
O221883,C100222,Mumbai,R1003,Delhi NCR,Desserts,2025-01-09 20:41:00,212.8,44.0,4.4,False
O208177,C101442,Mumbai,R1027,Delhi NCR,Fast Food,2025-01-09 21:01:00,313.67,14.4,3.8,False
O219128,C101141,Mumbai,R1100,Mumbai,Desserts,2025-01-09 21:08:00,188.26,29.4,3.2,False
O207015,C100557,Delhi NCR,R1107,Pune,Fast Food,2025-01-09 21:36:00,243.29,36.1,4.5,False
O201076,C101762,Pune,R1133,Bengaluru,Continental,2025-01-09 21:38:00,821.62,41.0,4.7,False
O203077,C101588,Delhi NCR,R1135,Bengaluru,Fast Food,2025-01-09 21:50:00,333.4,58.6,3.8,False
O209957,C101588,Delhi NCR,R1044,Bengaluru,South Indian,2025-01-09 21:50:00,203.91,46.1,4.4,False
O200624,C100852,Mumbai,R1054,Delhi NCR,North Indian,2025-01-09 21:54:00,452.29,33.5,4.0,False
O202500,C101168,Bengaluru,R1128,Mumbai,Biryani,2025-01-09 22:32:00,398.88,39.9,4.7,False
O219203,C100267,Pune,R1123,Mumbai,Fast Food,2025-01-09 22:44:00,178.39,45.2,4.3,False
O218977,C100222,Mumbai,R1164,Mumbai,Chinese,2025-01-09 22:47:00,162.66,39.0,4.8,False
O219553,C100258,Hyderabad,R1015,Mumbai,South Indian,2025-01-09 23:30:00,325.99,33.7,3.6,False
O227950,C101481,Chennai,R1051,Hyderabad,Chinese,2025-01-10 00:00:00,272.54,27.5,3.8,False
O219594,C101746,Chennai,R1053,Chennai,Chinese,2025-01-10 00:00:00,253.25,19.8,4.0,False
O228985,C101566,Bengaluru,R1067,Hyderabad,Continental,2025-01-10 00:00:00,492.06,19.1,3.8,False
O202674,C101746,Chennai,R1076,Hyderabad,Continental,2025-01-10 00:00:00,682.95,18.3,4.2,False
O227052,C102067,Mumbai,R1135,Bengaluru,Fast Food,2025-01-10 00:00:00,197.15,24.2,4.6,False
O218496,C101318,Pune,R1006,Mumbai,Biryani,2025-01-10 00:00:00,465.01,34.4,4.2,False
O225454,C101259,Pune,R1025,Hyderabad,North Indian,2025-01-10 00:00:00,595.12,35.8,4.5,False
O217445,C101917,Chennai,R1070,Hyderabad,South Indian,2025-01-10 00:00:00,259.4,42.4,3.9,False
O210863,C101700,Delhi NCR,R1036,Bengaluru,South Indian,2025-01-10 00:00:00,112.97,16.2,4.4,False
O216410,C101940,Bengaluru,R1013,Mumbai,Fast Food,2025-01-10 00:00:00,261.97,34.5,4.5,False
O215319,C100441,Delhi NCR,R1120,Hyderabad,North Indian,2025-01-10 00:00:00,335.6,24.9,3.8,False
O205833,C100479,Bengaluru,R1165,Hyderabad,Fast Food,2025-01-10 00:00:00,158.46,12.8,4.2,False
O202005,C100351,Delhi NCR,R1138,Bengaluru,North Indian,2025-01-10 00:00:00,454.7,46.9,4.1,False
O215864,C100557,Delhi NCR,R1058,Mumbai,Fast Food,2025-01-10 12:57:00,202.64,48.5,3.4,False
O202456,C102046,Hyderabad,R1037,Mumbai,Biryani,2025-01-10 13:28:00,406.44,36.1,4.7,False
O222464,C101168,Bengaluru,R1008,Delhi NCR,Chinese,2025-01-10 13:30:00,179.58,27.4,4.0,False
O227457,C102323,Delhi NCR,R1100,Mumbai,Desserts,2025-01-10 13:36:00,323.08,44.4,4.6,False
O217904,C101615,Delhi NCR,R1126,Hyderabad,Chinese,2025-01-10 13:45:00,298.8,23.6,4.4,False
O218389,C102326,Hyderabad,R1127,Hyderabad,South Indian,2025-01-10 14:11:00,305.37,33.9,4.0,False
O207095,C100900,Hyderabad,R1162,Pune,North Indian,2025-01-10 14:32:00,324.71,26.7,4.1,False
O206988,C101591,Mumbai,R1052,Chennai,Fast Food,2025-01-10 14:36:00,172.39,32.6,4.4,False
O200572,C100360,Pune,R1000,Bengaluru,South Indian,2025-01-10 14:55:00,164.06,58.4,3.4,False
O229386,C100566,Hyderabad,R1064,Bengaluru,North Indian,2025-01-10 19:04:00,316.77,19.9,5.0,False
O214596,C101229,Bengaluru,R1091,Pune,Biryani,2025-01-10 19:50:00,273.05,28.2,4.5,False
O202748,C101970,Mumbai,R1079,Mumbai,North Indian,2025-01-10 20:10:00,406.54,48.5,4.2,False
O215709,C101940,Bengaluru,R1098,Mumbai,Fast Food,2025-01-10 20:23:00,297.43,32.9,4.6,False
O223277,C101376,Pune,R1137,Pune,North Indian,2025-01-10 20:34:00,479.41,36.3,4.1,False
O214734,C102128,Chennai,R1015,Mumbai,South Indian,2025-01-10 20:37:00,320.24,36.0,5.0,False
O229633,C101746,Chennai,R1042,Mumbai,North Indian,2025-01-10 20:47:00,295.03,30.4,4.4,False
O206323,C102072,Mumbai,R1079,Mumbai,North Indian,2025-01-10 20:56:00,290.0,58.6,4.3,False
O200865,C101221,Delhi NCR,R1103,Delhi NCR,North Indian,2025-01-10 20:58:00,453.85,39.4,4.2,False
O220735,C101098,Delhi NCR,R1118,Chennai,Fast Food,2025-01-10 21:21:00,273.52,29.1,4.6,False
O204391,C100064,Bengaluru,R1064,Bengaluru,North Indian,2025-01-10 21:22:00,279.51,29.0,3.9,False
O229838,C100821,Delhi NCR,R1043,Chennai,South Indian,2025-01-10 21:32:00,299.03,24.4,4.1,False
O206063,C101983,Delhi NCR,R1099,Mumbai,Biryani,2025-01-10 21:35:00,503.04,26.1,4.2,False
O210064,C102109,Mumbai,R1022,Bengaluru,North Indian,2025-01-10 21:35:00,233.99,42.6,4.3,False
O229933,C101168,Bengaluru,R1126,Hyderabad,Chinese,2025-01-10 22:07:00,398.54,29.5,4.9,False
O229244,C102023,Mumbai,R1132,Mumbai,North Indian,2025-01-10 22:08:00,355.57,49.0,3.6,False
O211079,C101615,Delhi NCR,R1093,Delhi NCR,Desserts,2025-01-10 22:32:00,156.63,35.1,4.1,False
O205138,C101301,Hyderabad,R1064,Bengaluru,North Indian,2025-01-10 23:39:00,486.14,19.4,4.0,False
O228481,C100658,Delhi NCR,R1006,Mumbai,Biryani,2025-01-11 00:00:00,497.9,28.9,4.3,True
